chr	chrStart	chrEnd	arm
1	0	125000000	1
1	125000000	249250621	2
2	0	93300000	1
2	93300000	243199373	2
3	0	91000000	1
3	91000000	198022430	2
4	0	50400000	1
4	50400000	191154276	2
5	0	48400000	1
5	48400000	180915260	2
6	0	61000000	1
6	61000000	171115067	2
7	0	59900000	1
7	59900000	159138663	2
8	0	45600000	1
8	45600000	146364022	2
9	0	49000000	1
9	49000000	141213431	2
23	0	60600000	1
23	60600000	155270560	2
24	0	12500000	1
24	12500000	59373566	2
10	0	40200000	1
10	40200000	135534747	2
11	0	53700000	1
11	53700000	135006516	2
12	0	35800000	1
12	35800000	133851895	2
13	0	17900000	1
13	17900000	115169878	2
14	0	17600000	1
14	17600000	107349540	2
15	0	19000000	1
15	19000000	102531392	2
16	0	36600000	1
16	36600000	90354753	2
17	0	24000000	1
17	24000000	81195210	2
18	0	17200000	1
18	17200000	78077248	2
19	0	26500000	1
19	26500000	59128983	2
20	0	27500000	1
20	27500000	63025520	2
21	0	13200000	1
21	13200000	48129895	2
22	0	14700000	1
22	14700000	51304566	2
