chr	chrStart	chrEnd	arm
1	0	123400000	1
1	123400000	248956422	2
2	0	93900000	1
2	93900000	242193529	2
3	0	90900000	1
3	90900000	198295559	2
4	0	50000000	1
4	50000000	190214555	2
5	0	48800000	1
5	48800000	181538259	2
6	0	59800000	1
6	59800000	170805979	2
7	0	60100000	1
7	60100000	159345973	2
8	0	45200000	1
8	45200000	145138636	2
9	0	43000000	1
9	43000000	138394717	2
10	0	39800000	1
10	39800000	133797422	2
11	0	53400000	1
11	53400000	135086622	2
12	0	35500000	1
12	35500000	133275309	2
13	0	17700000	1
13	17700000	114364328	2
14	0	17200000	1
14	17200000	107043718	2
15	0	19000000	1
15	19000000	101991189	2
16	0	36800000	1
16	36800000	90338345	2
17	0	25100000	1
17	25100000	83257441	2
18	0	18500000	1
18	18500000	80373285	2
19	0	26200000	1
19	26200000	58617616	2
20	0	28100000	1
20	28100000	64444167	2
21	0	12000000	1
21	12000000	46709983	2
22	0	15000000	1
22	15000000	50818468	2
23	0	61000000	1
23	61000000	156040895	2
24	0	10400000	1
24	10400000	57227415	2
